"year","group","match","team","score","TPP","possession","target_shots","BACK","SMPC_TPC","fouls","side","side_attack","LB","CB","RB","LM","CM","RM","LF","CF","RF","LA","CA","RA","formation","Opponent","result","cluster"
2010,"A",1,"South Africa",1,62,42,0.555555556,0.055555556,0.822966507,17,57,57,3,11,4,17,19,18,6,12,9,20,30,50,"442","Mexico","d",3
2010,"A",1,"Mexico",1,80,58,0.357142857,0.055555556,0.818791946,13,56,56,3,10,5,16,24,18,4,10,10,12,38,50,"4123","South Africa","d",1
2010,"A",2,"Uruguay",0,64,46,0.428571429,0.041666667,0.880866426,13,62,62,6,11,7,25,15,13,6,12,5,100,0,0,"442","France","d",3
2010,"A",2,"France",0,69,54,0.166666667,0.0625,0.905149051,20,66,66,4,8,4,17,17,16,11,9,14,47,40,13,"4123","Uruguay","d",2
2010,"A",3,"South Africa",0,78,50,0.3,0.0625,0.919621749,14,59,59,3,9,4,18,22,22,4,10,8,40,10,50,"442","Uruguay","l",2
2010,"A",3,"Uruguay",3,72,50,0.315789474,0.052631579,0.906896552,10,65,65,5,10,4,21,14,18,8,11,9,29,21,50,"41212","South Africa","w",2
2010,"A",4,"France",0,68,53,0.307692308,0.055555556,0.878881988,23,53,53,2,13,3,15,20,13,10,14,10,56,44,0,"4231","Mexico","l",1
2010,"A",4,"Mexico",2,66,47,0.416666667,0.037037037,0.877622378,25,61,61,6,11,10,18,16,16,6,12,5,50,33,17,"4123","France","w",3
2010,"A",5,"Mexico",0,80,59,0.181818182,0.052631579,0.861344538,20,57,57,3,10,6,15,22,19,7,11,7,25,17,58,"4321","Uruguay","l",1
2010,"A",5,"Uruguay",1,60,41,0.333333333,0.052631579,0.803191489,13,62,62,2,10,7,12,15,22,7,13,12,46,8,46,"4312","Mexico","w",3
2010,"A",6,"France",1,72,50,0.4,0.041666667,0.873786408,10,56,56,6,13,5,22,18,16,4,13,3,34,44,22,"4231","South Africa","l",1
2010,"A",6,"South Africa",2,78,50,0.476190476,0.052631579,0.881889764,12,60,60,4,9,6,18,21,17,8,10,7,23,46,31,"442","France","w",2
2010,"B",7,"South Korea",2,67,50,0.388888889,0.035714286,0.861861862,14,59,59,7,13,8,16,14,16,5,14,7,47,20,33,"442","Greece","w",3
2010,"B",7,"Greece",0,68,50,0.333333333,0.055555556,0.841176471,12,57,57,3,10,5,15,20,23,4,13,7,62,13,25,"442","South Korea","l",3
2010,"B",8,"Argentina",1,75,58,0.35,0.047619048,0.910313901,7,63,63,5,10,6,14,17,19,10,10,9,62,25,13,"4312","Nigeria","w",2
