year,group,match,team,score,TPP,shots,target,possession,target_shots,coner.kicks,TPC,TPA,LPC_SPC,LPP,LPC,LPA,SPC,SPA,LPC_LPA,SPP,LPP_SPP,MPC,MPA,SPA_LPA,LB,CB,RB,BACK,LM,CM,RM,LF,CF,RF,LA,CA,RA,fouls,side,formation,Opponent,side_attack,result,cluster
2010,A,1,South Africa,1,62,9,5,42,0.555555556,4,209,335,1.027777778,0.37755102,37,98,36,57,0.37755102,0.631578947,0.597789116,136,180,0.581632653,3,11,4,0.055555556,17,19,18,6,12,9,20,30,50,17,57,442,Mexico,57,d,2
2010,A,1,Mexico,1,80,14,5,58,0.357142857,5,447,561,1.227272727,0.692307693,81,117,66,86,0.692307692,0.76744186,0.902097902,300,358,0.735042735,3,10,5,0.055555556,16,24,18,4,10,10,12,38,50,13,56,4123,South Africa,56,d,2
2010,A,2,Uruguay,0,64,7,3,46,0.428571429,0,277,434,0.392857143,0.452054795,33,73,84,134,0.452054795,0.626865672,0.721135029,160,227,1.83561644,6,11,7,0.041666667,25,15,13,6,12,5,100,0,0,13,62,442,France,62,d,3
2010,A,2,France,0,69,18,3,54,0.166666667,4,369,531,0.330188679,0.402298851,35,87,106,133,0.402298851,0.796992481,0.504771199,228,311,1.528735633,4,8,4,0.0625,17,17,16,11,9,14,47,40,13,20,66,4123,Uruguay,66,d,4
2010,A,3,South Africa,0,78,10,3,50,0.3,3,423,539,0.26984127,0.45945946,34,74,126,150,0.459459459,0.84,0.546975547,263,315,2.027027028,3,9,4,0.0625,18,22,22,4,10,8,40,10,50,14,59,442,Uruguay,59,l,4
2010,A,3,Uruguay,3,72,19,6,50,0.315789474,4,290,401,0.346153846,0.385714286,27,70,78,92,0.385714286,0.847826087,0.454945055,185,239,1.314285715,5,10,4,0.052631579,21,14,18,8,11,9,29,21,50,10,65,41212,South Africa,65,w,3
2010,A,4,France,0,68,13,4,53,0.307692308,7,322,476,0.506493506,0.45882353,39,85,77,114,0.458823529,0.675438596,0.679297173,206,277,1.341176471,2,13,3,0.055555556,15,20,13,10,14,10,56,44,0,23,53,4231,Mexico,53,l,4
2010,A,4,Mexico,2,66,12,5,47,0.416666667,1,286,433,0.426829268,0.421686747,35,83,82,109,0.421686747,0.752293578,0.560534822,169,241,1.313253012,6,11,10,0.037037037,18,16,16,6,12,5,50,33,17,25,61,4123,France,61,w,3
2010,A,5,Mexico,0,80,11,2,59,0.181818182,6,476,595,0.680412371,0.673469388,66,98,97,119,0.673469388,0.81512605,0.826215022,313,378,1.214285714,3,10,6,0.052631579,15,22,19,7,11,7,25,17,58,20,57,4321,Uruguay,57,l,4
2010,A,5,Uruguay,1,60,15,5,41,0.333333333,7,188,315,0.860465116,0.451219512,37,82,43,65,0.451219512,0.661538462,0.682076007,108,168,0.792682927,2,10,7,0.052631579,12,15,22,7,13,12,46,8,46,13,62,4312,Mexico,62,w,3
