team,Opponent,cluster,TPP,possession,target_shots,CA,BACK,SPA_LPA
South Africa,Mexico,3,-1.071059312,-1.289514556,1.320893635,-0.028588007,0.561919844,-1.526731125
Mexico,South Africa,4,1.31782806,1.289514556,-0.070346027,0.494164123,0.561919844,-1.174644391
Uruguay,France,2,-0.805627382,-0.644757278,0.430500254,-1.988908497,-0.584050158,1.35124828
France,Uruguay,1,-0.142047556,0.644757278,-1.405936094,0.624852156,1.134904804,0.646935631
South Africa,Uruguay,1,1.05239613,0,-0.471023047,-1.335468334,1.134904804,1.7905488
Uruguay,South Africa,2,0.256100339,0,-0.360309657,-0.616684154,0.320662971,0.154758257
France,Mexico,4,-0.274763522,0.483567959,-0.417085753,0.886228221,0.561919844,0.2164744
Mexico,France,3,-0.540195452,-0.483567959,0.347025874,0.167444042,-0.966040186,0.152388132
Mexico,Uruguay,1,1.31782806,1.450703876,-1.299695976,-0.878060219,0.320662971,-0.074748652
Uruguay,Mexico,3,-1.336491242,-1.450703876,-0.237294787,-1.466156366,0.320662971,-1.042356169
France,South Africa,4,0.256100339,0,0.23016174,0.886228221,-0.584050158,-0.566549167
South Africa,France,4,1.05239613,0,0.764397767,1.016916254,0.320662971,-0.087358921
South Korea,Greece,2,-0.407479487,0,0.15225232,-0.68202817,-1.075180159,-0.832941111
Greece,South Korea,2,-0.274763522,0,-0.237294787,-1.139436285,0.561919844,-0.911672336
Argentina,Nigeria,4,0.654248234,1.289514556,-0.120430653,-0.355308089,-0.092920157,0.692037101
Nigeria,Argentina,2,-0.938343347,-1.289514556,-1.937136692,-1.988908497,0.103531811,-0.007493879
Argentina,South Korea,4,0.521532269,0.967135917,0.931346528,0.167444042,0.103531811,-0.184037654
South Korea,Argentina,2,-1.071059312,-0.967135917,-1.495831581,-0.355308089,-0.584050158,-1.214568669
Greece,Nigeria,1,0.919680165,0.967135917,0.282101351,0.167444042,1.871599765,-0.841957455
Nigeria,Greece,2,0.256100339,-0.967135917,0.23016174,-0.355308089,-0.434575828,-0.507701241
Nigeria,South Korea,3,-0.142047556,-0.805946598,-0.024814543,0.494164123,-0.584050158,-0.463399993
South Korea,Nigeria,4,0.521532269,0.805946598,0.931346528,-1.204780301,0.320662971,0.25668213
Greece,Argentina,3,-2.398218963,-2.740218432,0.430500254,0.624852156,-0.721566585,-0.853432801
Argentina,Greece,1,1.715975955,2.740218432,1.250066882,1.474324368,2.324950573,2.708437035
England,United States,4,-0.009331591,0.483567959,0.541799421,1.278292319,-0.584050158,-1.107663013
United States,England,3,-1.601923173,-0.483567959,-0.417085753,0.167444042,0.561919844,-0.71955377
Algeria,Slovenia,2,0.256100339,-0.322378639,-1.299695976,-1.988908497,-1.176793254,-0.606119325
Slovenia,Algeria,4,0.521532269,0.322378639,1.432192801,1.278292319,-0.092920157,-0.357906524
Slovenia,United States,4,-0.274763522,-0.322378639,1.432192801,-0.093932023,0.831559772,-0.07693443
United States,Slovenia,2,0.123384374,0.322378639,0.430500254,-1.139436285,-0.271512952,-0.724829792
England,Algeria,4,0.919680165,-0.483567959,0.23016174,0.951572238,-0.271512952,0.963496881
Algeria,England,2,0.256100339,0.483567959,-1.937136692,-0.355308089,-0.271512952,0.547562034
Slovenia,England,3,-1.071059312,-0.805946598,0.661660074,-0.093932023,-1.075180159,-1.106565419
England,Slovenia,4,0.388816304,0.805946598,1.740405895,-1.139436285,0.103531811,-0.444840958
United States,Algeria,4,0.521532269,0.16118932,0.612626173,0.036756009,-0.434575828,-0.65835193
Algeria,United States,2,0.521532269,-0.16118932,-1.098398908,-0.355308089,-0.721566585,-0.364043073
Serbia,Ghana,2,0.256100339,0.16118932,-1.495831581,0.494164123,-0.966040186,-0.916273977
Ghana,Serbia,4,0.388816304,-0.16118932,-1.259855933,1.80104445,0.103531811,-0.470921288
Germany,Australia,4,0.919680165,0.805946598,1.807827512,-0.028588007,0.320662971,-1.084790571
Australia,Germany,2,0.256100339,-0.805946598,-1.172207834,-0.485996121,-0.271512952,0.241941076
Germany,Serbia,2,1.450544025,0.16118932,-0.704751307,-0.093932023,-0.721566585,0.363099064
Serbia,Germany,4,0.388816304,-0.16118932,-0.237294787,0.363476091,-0.584050158,-0.732172709
Ghana,Australia,1,0.919680165,0,-0.66225526,0.298132074,1.134904804,0.691022928
Australia,Ghana,4,0.256100339,0,1.807827512,0.820884205,-0.966040186,-0.76439995
Ghana,Germany,2,0.123384374,-0.805946598,-0.512269211,-0.224620056,-0.584050158,0.241941076
Germany,Ghana,4,0.919680165,0.805946598,0.661660074,-0.878060219,0.320662971,0.472271571
Australia,Serbia,3,-0.407479487,-0.805946598,0.312654069,-0.485996121,-1.271632209,-0.7880032
Serbia,Australia,4,0.256100339,0.805946598,-0.745399704,1.605012401,0.320662971,-0.773312146
Netherlands,Denmark,1,1.31782806,1.289514556,0.15225232,0.363476091,0.831559772,-0.033351303
Denmark,Netherlands,2,-0.407479487,-1.289514556,-0.471023047,-0.878060219,-1.595200155,-0.71955377
Japan,Cameroon,3,-1.469207208,-0.967135917,4.437270464,0.624852156,-1.075180159,-0.727204002
Cameroon,Japan,2,0.123384374,0.967135917,-0.024814543,-1.139436285,-0.721566585,-1.112994183
Netherlands,Japan,4,0.919680165,1.773082515,1.320893635,1.278292319,0.320662971,-1.036850206
Japan,Netherlands,3,-0.805627382,-1.773082515,-0.471023047,-0.355308089,-0.434575828,0.176923913
Cameroon,Denmark,1,0.919680165,0.644757278,-0.1356738,0.167444042,1.871599765,-0.329944107
Denmark,Cameroon,4,0.256100339,-0.644757278,0.661660074,-0.028588007,-0.271512952,-0.727204002
Denmark,Japan,4,1.05239613,0.967135917,0.008734968,0.167444042,-0.092920157,-0.857986509
Japan,Denmark,3,-0.938343347,-0.967135917,2.099987842,-1.139436285,0.103531811,-0.305085603
Cameroon,Netherlands,2,-0.009331591,0.16118932,-1.172207834,-0.551340138,-0.271512952,-0.036917842
