year,group,match,team,formation,score,shots,target,fouls,coner kicks,possession,LPC,LPA,MPC,MPA,SPC,SPA,TPC,TPA,TPP,LB,CB,RB,LM,CM,RM,LF,CF,RF,LA,CA,RA,result
2014,A,1,Brazil,4231,3,14,9,5,7,58,47,82,272,326,114,158,433,566,77,5,13,5,18,24,16,6,4,9,25,12,62,w
2014,A,1,Croatia,4231,1,10,4,21,3,42,40,62,167,235,77,113,284,410,69,8,15,8,12,22,15,10,5,5,50,11,39,l
2014,A,2,Mexico,5311,1,9,5,11,2,58,45,76,313,378,126,144,484,598,81,3,11,8,15,25,22,6,4,6,46,7,46,w
2014,A,2,Cameroon,4321,0,10,4,12,5,42,30,56,183,239,71,96,284,391,73,6,14,4,17,23,16,8,5,7,36,14,50,l
2014,A,3,Brazil,4231,0,14,8,13,4,43,53,81,207,270,92,125,352,476,74,4,12,4,20,24,16,7,6,7,39,16,45,d
2014,A,3,Mexico,532,0,13,3,3,0,47,34,68,181,224,84,112,299,404,74,6,14,8,14,22,19,7,5,6,42,15,42,d
2014,A,4,Cameroon,4123,0,18,7,11,4,49,36,57,181,239,56,88,273,384,71,8,18,4,14,23,13,5,6,9,25,22,53,l
2014,A,4,Croatia,4411,4,21,14,9,7,51,59,83,229,289,73,94,361,466,77,7,16,9,14,19,14,6,6,9,32,16,52,w
2014,A,5,Cameroon,433,1,12,6,14,6,46,28,69,180,220,113,144,321,433,74,5,17,6,16,22,16,7,5,6,46,7,46,l
2014,A,5,Brazil,433,4,19,18,19,7,54,54,83,204,258,115,145,373,486,77,5,20,7,15,20,13,9,7,4,59,15,27,w
2014,A,6,Croatia,433,1,10,5,18,7,55,72,111,217,278,87,117,376,506,74,5,14,4,19,24,14,5,7,8,29,17,54,l
2014,A,6,Mexico,532,3,12,7,12,9,45,49,86,187,255,63,93,299,434,69,4,14,8,12,22,19,4,7,10,21,9,70,w
2014,A,7,Spain,433,1,9,6,5,4,57,40,58,326,390,200,232,566,680,83,4,13,5,18,34,11,6,5,4,45,20,35,l
2014,A,7,Netherlands,5212,5,13,11,18,1,43,64,95,185,239,69,91,318,425,75,7,18,9,18,20,11,5,7,5,39,30,30,w
2014,B,8,Chile,433,3,11,9,9,3,62,80,113,413,463,122,153,615,729,84,8,15,5,18,21,16,7,4,6,41,12,46,w
2014,B,8,Australia,4231,1,13,6,18,1,38,43,71,210,268,71,95,324,434,75,7,18,8,14,15,18,7,7,6,42,18,39,l
2014,B,9,Australia,4231,2,10,8,18,3,48,41,81,261,319,74,100,376,500,75,7,22,9,11,18,17,5,5,6,33,15,51,l
2014,B,9,Netherlands,3412,3,15,14,25,2,52,57,100,243,292,84,104,384,496,77,11,19,7,21,14,15,6,3,4,42,19,39,w
2014,B,10,Spain,4231,0,15,9,14,7,56,46,78,322,381,211,246,579,705,82,5,13,5,16,24,13,8,9,8,33,15,52,l
2014,B,10,Chile,3412,2,7,4,15,1,44,43,78,201,255,88,131,332,464,72,11,21,9,16,15,15,3,3,7,32,5,64,w
2014,B,11,Australia,433,0,4,0,14,2,45,36,71,288,350,91,121,415,542,77,9,23,7,17,20,13,5,3,3,50,22,28,l
2014,B,11,Spain,4231,3,11,8,9,1,55,61,101,325,388,186,216,572,705,81,8,15,6,19,21,11,9,5,6,46,20,35,w
2014,B,12,Netherlands,433,2,13,8,26,2,36,32,67,123,186,42,64,197,317,62,6,21,8,19,15,14,5,4,8,32,20,48,w
2014,B,12,Chile,5212,0,7,1,14,7,64,66,95,340,405,73,109,479,609,79,5,15,7,11,25,23,6,4,4,40,20,40,l
2014,C,13,Colombia,433,3,12,8,19,4,46,40,66,197,253,91,111,328,430,76,4,17,8,9,23,17,7,7,8,21,33,45,w
2014,C,13,Greece,442,0,12,7,14,4,54,50,83,234,298,93,120,377,501,75,5,12,5,14,23,16,9,7,9,45,11,45,l
2014,C,14,Ivory Coast,433,2,20,10,12,8,57,48,75,326,375,82,120,456,570,80,4,18,6,16,27,15,4,4,7,15,25,60,w
2014,C,14,Japan,4231,1,7,4,13,5,43,34,70,178,233,114,153,326,456,71,5,17,6,14,27,14,6,5,6,44,22,33,l
2014,C,15,Colombia,433,2,11,8,11,5,45,21,56,189,245,82,106,292,407,72,7,18,8,12,20,19,5,5,6,35,27,38,w
2014,C,15,Ivory Coast,433,1,15,12,14,5,55,29,76,255,292,93,116,377,484,78,5,15,4,14,27,13,7,6,10,30,13,57,l
2014,C,16,Japan,4411,0,16,11,23,5,68,36,60,409,461,125,141,570,662,86,3,12,3,22,23,11,11,9,7,44,24,32,d
2014,C,16,Greece,4123,0,9,5,18,7,32,29,62,74,122,41,59,144,243,59,9,20,8,18,16,10,9,5,7,40,16,44,d
2014,C,17,Japan,4231,1,23,13,10,9,56,45,79,227,306,108,132,380,517,74,3,15,4,18,22,9,12,10,7,42,25,33,l
2014,C,17,Colombia,4222,4,13,9,19,2,44,39,80,157,221,69,100,265,401,66,7,20,8,14,17,12,6,8,8,38,19,42,w
2014,C,18,Greece,4123,2,13,5,13,4,46,40,70,162,197,63,84,265,351,75,5,20,7,14,25,13,6,4,6,31,31,37,w
