year,group,match,team,score,TPP,possession,target_shots,BACK,side,SPA_LPA,side_attack,LB,CB,RB,LM,CM,RM,LF,CF,RF,Left,Center,Right,formation,Opponent,result,cluster,round
2014,A,1,Brazil,3,77,58,0.642857143,23,59,1.926829268,87,5,13,5,18,24,16,6,4,9,25,12,62,4231,Croatia,w,1,Match1
2014,A,1,Croatia,1,69,42,0.4,31,58,1.822580645,89,8,15,8,12,22,15,10,5,5,50,11,39,4231,Brazil,l,2,Match1
2014,A,2,Mexico,1,81,58,0.555555556,22,60,1.894736842,92,3,11,8,15,25,22,6,4,6,46,7,46,5311,Cameroon,w,1,Match1
2014,A,2,Cameroon,0,73,42,0.4,24,58,1.714285714,86,6,14,4,17,23,16,8,5,7,36,14,50,4321,Mexico,l,2,Match1
2014,A,3,Brazil,0,74,43,0.571428571,20,58,1.543209877,84,4,12,4,20,24,16,7,6,7,39,16,45,4231,Mexico,d,1,Match2
2014,A,3,Mexico,0,74,47,0.230769231,28,60,1.647058824,84,6,14,8,14,22,19,7,5,6,42,15,42,532,Brazil,d,2,Match2
2014,A,4,Cameroon,0,71,49,0.388888889,30,53,1.543859649,78,8,18,4,14,23,13,5,6,9,25,22,53,4123,Croatia,l,4,Match2
2014,A,4,Croatia,4,77,51,0.666666667,32,59,1.13253012,84,7,16,9,14,19,14,6,6,9,32,16,52,4411,Cameroon,w,1,Match2
2014,A,5,Cameroon,1,74,46,0.5,28,56,2.086956522,92,5,17,6,16,22,16,7,5,6,46,7,46,433,Brazil,l,1,Match3
2014,A,5,Brazil,4,77,54,0.947368421,32,53,1.746987952,86,5,20,7,15,20,13,9,7,4,59,15,27,433,Cameroon,w,1,Match3
2014,A,6,Croatia,1,74,55,0.5,23,55,1.054054054,83,5,14,4,19,24,14,5,7,8,29,17,54,433,Mexico,l,1,Match3
2014,A,6,Mexico,3,69,45,0.583333333,26,57,1.081395349,91,4,14,8,12,22,19,4,7,10,21,9,70,532,Croatia,w,2,Match3
2014,A,7,Spain,1,83,57,0.666666667,22,48,4,80,4,13,5,18,34,11,6,5,4,45,20,35,433,Netherlands,l,3,Match1
2014,A,7,Netherlands,5,75,43,0.846153846,34,55,0.957894737,69,7,18,9,18,20,11,5,7,5,39,30,30,5212,Spain,w,4,Match1
2014,B,8,Chile,3,84,62,0.818181818,28,60,1.353982301,87,8,15,5,18,21,16,7,4,6,41,12,46,433,Australia,w,1,Match1
2014,B,8,Australia,1,75,38,0.461538462,33,60,1.338028169,81,7,18,8,14,15,18,7,7,6,42,18,39,4231,Chile,l,2,Match1
2014,B,9,Australia,2,75,48,0.8,38,55,1.234567901,84,7,22,9,11,18,17,5,5,6,33,15,51,4231,Netherlands,l,4,Match2
2014,B,9,Netherlands,3,77,52,0.933333333,37,64,1.04,81,11,19,7,21,14,15,6,3,4,42,19,39,3412,Australia,w,1,Match2
2014,B,10,Spain,0,82,56,0.6,23,55,3.153846154,85,5,13,5,16,24,13,8,9,8,33,15,52,4231,Chile,l,3,Match2
2014,B,10,Chile,2,72,44,0.571428571,41,61,1.679487179,96,11,21,9,16,15,15,3,3,7,32,5,64,3412,Spain,w,2,Match2
2014,B,11,Australia,0,77,45,0,39,54,1.704225352,78,9,23,7,17,20,13,5,3,3,50,22,28,433,Spain,l,2,Match3
2014,B,11,Spain,3,81,55,0.727272727,29,59,2.138613861,81,8,15,6,19,21,11,9,5,6,46,20,35,4231,Australia,w,1,Match3
2014,B,12,Netherlands,2,62,36,0.615384615,35,60,0.955223881,80,6,21,8,19,15,14,5,4,8,32,20,48,433,Chile,w,2,Match3
