year,group,match,team,score,shots,target,target_shots,coner kicks,possession,TPC,TPA,TPP,LPC_SPC,LPP,LPC,LPA,SPC,SPA,LPC_LPA,SPC_SPA,LPP_SPP,MPC,MPA,LPA_SPA,LB,CB,RB,BACK,LM,CM,RM,LF,CF,RF,LA,CA,RA,fouls,formation,Opponent,result
2010,A,1,South Africa,1,9,5,0.555555556,4,42,209,335,62,1.027777778,2.648648649,37,98,36,57,0.37755102,0.631578947,0.597789116,136,180,1.719298246,3,11,4,18,17,19,18,6,12,9,20,30,50,17,442,Mexico,d
2010,A,1,Mexico,1,14,5,0.357142857,5,58,447,561,80,1.227272727,1.444444444,81,117,66,86,0.692307692,0.76744186,0.902097902,300,358,1.360465116,3,10,5,18,16,24,18,4,10,10,12,38,50,13,4123,South Africa,d
2010,A,2,Uruguay,0,7,3,0.428571429,0,46,277,434,64,0.392857143,2.212121212,33,73,84,134,0.452054795,0.626865672,0.721135029,160,227,0.544776119,6,11,7,24,25,15,13,6,12,5,100,0,0,13,442,France,d
2010,A,2,France,0,18,3,0.166666667,4,54,369,531,69,0.330188679,2.485714286,35,87,106,133,0.402298851,0.796992481,0.504771199,228,311,0.654135338,4,8,4,16,17,17,16,11,9,14,47,40,13,20,4123,Uruguay,d
2010,A,3,South Africa,0,10,3,0.3,3,50,423,539,78,0.26984127,2.176470588,34,74,126,150,0.459459459,0.84,0.546975547,263,315,0.493333333,3,9,4,16,18,22,22,4,10,8,40,10,50,14,442,Uruguay,l
2010,A,3,Uruguay,3,19,6,0.315789474,4,50,290,401,72,0.346153846,2.592592593,27,70,78,92,0.385714286,0.847826087,0.454945055,185,239,0.760869565,5,10,4,19,21,14,18,8,11,9,29,21,50,10,41212,South Africa,w
2010,A,4,France,0,13,4,0.307692308,7,53,322,476,68,0.506493506,2.179487179,39,85,77,114,0.458823529,0.675438596,0.679297173,206,277,0.745614035,2,13,3,18,15,20,13,10,14,10,56,44,0,23,4231,Mexico,l
2010,A,4,Mexico,2,12,5,0.416666667,1,47,286,433,66,0.426829268,2.371428571,35,83,82,109,0.421686747,0.752293578,0.560534822,169,241,0.76146789,6,11,10,27,18,16,16,6,12,5,50,33,17,25,4123,France,w
2010,A,5,Mexico,0,11,2,0.181818182,6,59,476,595,80,0.680412371,1.484848485,66,98,97,119,0.673469388,0.81512605,0.826215022,313,378,0.823529412,3,10,6,19,15,22,19,7,11,7,25,17,58,20,4321,Uruguay,l
2010,A,5,Uruguay,1,15,5,0.333333333,7,41,188,315,60,0.860465116,2.216216216,37,82,43,65,0.451219512,0.661538462,0.682076007,108,168,1.261538462,2,10,7,19,12,15,22,7,13,12,46,8,46,13,4312,Mexico,w
